State,Measure,Year,Value
Tennessee,Miles of public road,2011,95492.319
Texas,Miles of public road,2011,312910.634
United States,Miles of public road,2011,4094446.992
Utah,Miles of public road,2011,45634.708
Vermont,Miles of public road,2011,14289.886
Virginia,Miles of public road,2011,74461.262
Washington,Miles of public road,2011,83742.811
West Virginia,Miles of public road,2011,38645.584
Wisconsin,Miles of public road,2011,115018.015
Wyoming,Miles of public road,2011,28253
Alabama,Miles of public road,2012,101811.314
Alaska,Miles of public road,2012,16301.016
Arizona,Miles of public road,2012,65261.58
Arkansas,Miles of public road,2012,100123
California,Miles of public road,2012,175498.762
Colorado,Miles of public road,2012,88524.267
Connecticut,Miles of public road,2012,21431.06
Delaware,Miles of public road,2012,6377.15
District of Columbia,Miles of public road,2012,1501.807
Florida,Miles of public road,2012,121828.79
Georgia,Miles of public road,2012,125522.99
Hawaii,Miles of public road,2012,4415.743
Idaho,Miles of public road,2012,48491.951
Illinois,Miles of public road,2012,144337.33
Indiana,Miles of public road,2012,97288.351
Iowa,Miles of public road,2012,114437.894
Kansas,Miles of public road,2012,140613.72
Kentucky,Miles of public road,2012,79320.603
Louisiana,Miles of public road,2012,61325.694
Maine,Miles of public road,2012,22871
Maryland,Miles of public road,2012,32372
Massachusetts,Miles of public road,2012,36329.707
Michigan,Miles of public road,2012,122050.939
Minnesota,Miles of public road,2012,138832.36
Mississippi,Miles of public road,2012,75181.149
Missouri,Miles of public road,2012,131978.431
Montana,Miles of public road,2012,74904.781
Nebraska,Miles of public road,2012,93797.274
Nevada,Miles of public road,2012,38567
New Hampshire,Miles of public road,2012,16105.129
New Jersey,Miles of public road,2012,39271.789
New Mexico,Miles of public road,2012,68384.058
New York,Miles of public road,2012,114708.8
North Carolina,Miles of public road,2012,106063.075
North Dakota,Miles of public road,2012,86851.022
Ohio,Miles of public road,2012,123281.065
Oklahoma,Miles of public road,2012,112820.68
Oregon,Miles of public road,2012,59262.07
Pennsylvania,Miles of public road,2012,119846.039
Rhode Island,Miles of public road,2012,6480.266
South Carolina,Miles of public road,2012,66243.671
South Dakota,Miles of public road,2012,82535.984
Tennessee,Miles of public road,2012,95522.71
Texas,Miles of public road,2012,313209.842
United States,Miles of public road,2012,4109420.689
Utah,Miles of public road,2012,45890.606
Vermont,Miles of public road,2012,14290.765
Virginia,Miles of public road,2012,74591.452
Washington,Miles of public road,2012,83878.09
West Virginia,Miles of public road,2012,38684
Wisconsin,Miles of public road,2012,115094.536
Wyoming,Miles of public road,2012,28416.377
Alabama,Miles of public road,2013,101837.433
Alaska,Miles of public road,2013,15679.96
Arizona,Miles of public road,2013,66440.5
Arkansas,Miles of public road,2013,101656.23
California,Miles of public road,2013,174988.599
Colorado,Miles of public road,2013,88564.61
Connecticut,Miles of public road,2013,21474.21
Delaware,Miles of public road,2013,6392.98
District of Columbia,Miles of public road,2013,1501.439
Florida,Miles of public road,2013,122087.524
Georgia,Miles of public road,2013,128619.6
Hawaii,Miles of public road,2013,4430.132
Idaho,Miles of public road,2013,48082.265
Illinois,Miles of public road,2013,145708.29
Indiana,Miles of public road,2013,97553.352
Iowa,Miles of public road,2013,114428.852
Kansas,Miles of public road,2013,140686.639
Kentucky,Miles of public road,2013,79597.557
Louisiana,Miles of public road,2013,61427.409
Maine,Miles of public road,2013,22881.81
Maryland,Miles of public road,2013,32422
Massachusetts,Miles of public road,2013,36369.957
Michigan,Miles of public road,2013,122140.686
Minnesota,Miles of public road,2013,138767.328
Mississippi,Miles of public road,2013,75116.115
Missouri,Miles of public road,2013,131899.837
Montana,Miles of public road,2013,74933.219
Nebraska,Miles of public road,2013,93769.566
Nevada,Miles of public road,2013,40139
New Hampshire,Miles of public road,2013,16097.632
New Jersey,Miles of public road,2013,39292.6
New Mexico,Miles of public road,2013,70771.503
New York,Miles of public road,2013,114727.84
North Carolina,Miles of public road,2013,106202.171
North Dakota,Miles of public road,2013,87077.737
Ohio,Miles of public road,2013,123297.239
Oklahoma,Miles of public road,2013,112940.45
Oregon,Miles of public road,2013,71228.34
Pennsylvania,Miles of public road,2013,119936.03
Rhode Island,Miles of public road,2013,6105.981
South Carolina,Miles of public road,2013,66231.974
South Dakota,Miles of public road,2013,82558.096
Tennessee,Miles of public road,2013,95535.529
Texas,Miles of public road,2013,313227.621
United States,Miles of public road,2013,4132152.964
Utah,Miles of public road,2013,46254.256
Vermont,Miles of public road,2013,14265.696
Virginia,Miles of public road,2013,74748.309
Washington,Miles of public road,2013,82447.618
West Virginia,Miles of public road,2013,38749.658
Wisconsin,Miles of public road,2013,115144.724
Wyoming,Miles of public road,2013,29023.861
Alabama,Miles of public road,2014,102017.57
Alaska,Miles of public road,2014,15728.492
Arizona,Miles of public road,2014,65592.927
Arkansas,Miles of public road,2014,102594.93
California,Miles of public road,2014,225530.601
Colorado,Miles of public road,2014,88739.785
Connecticut,Miles of public road,2014,21508.4
Delaware,Miles of public road,2014,6407.39
District of Columbia,Miles of public road,2014,1502.91
Florida,Miles of public road,2014,122391.46
Georgia,Miles of public road,2014,127492.17
Hawaii,Miles of public road,2014,4439.431
Idaho,Miles of public road,2014,48902.097
Illinois,Miles of public road,2014,145760.84
Indiana,Miles of public road,2014,96698.057
Iowa,Miles of public road,2014,114173.281
Kansas,Miles of public road,2014,140476.402
Kentucky,Miles of public road,2014,79727.451
Louisiana,Miles of public road,2014,61419.059
Maine,Miles of public road,2014,22915.9
Maryland,Miles of public road,2014,31983.606
Massachusetts,Miles of public road,2014,36384.016
Michigan,Miles of public road,2014,122284.193
Minnesota,Miles of public road,2014,138767.328
Mississippi,Miles of public road,2014,75792.303
Missouri,Miles of public road,2014,131564.481
Montana,Miles of public road,2014,74982.517
Nebraska,Miles of public road,2014,93868.254
Nevada,Miles of public road,2014,42815
New Hampshire,Miles of public road,2014,16131.52
New Jersey,Miles of public road,2014,39041.42
New Mexico,Miles of public road,2014,68451.73
New York,Miles of public road,2014,114807
North Carolina,Miles of public road,2014,106305.152
North Dakota,Miles of public road,2014,87087.58
Ohio,Miles of public road,2014,122884.502
Oklahoma,Miles of public road,2014,112672.59
Oregon,Miles of public road,2014,73479.48
Pennsylvania,Miles of public road,2014,120038.633
Rhode Island,Miles of public road,2014,6026.656
South Carolina,Miles of public road,2014,76301.07
South Dakota,Miles of public road,2014,82576.102
Tennessee,Miles of public road,2014,95560.676
Texas,Miles of public road,2014,313595.513
United States,Miles of public road,2014,4194257.078
Utah,Miles of public road,2014,46153.116
Vermont,Miles of public road,2014,14238.413
Virginia,Miles of public road,2014,74900.912
Washington,Miles of public road,2014,81416.926
West Virginia,Miles of public road,2014,38759.5
Wisconsin,Miles of public road,2014,115212.274
Wyoming,Miles of public road,2014,28971.807
Alabama,Miles of public road,2015,102019.13
Alaska,Miles of public road,2015,16129.35
Arizona,Miles of public road,2015,66121.91
Arkansas,Miles of public road,2015,102609
California,Miles of public road,2015,195834
Colorado,Miles of public road,2015,88739.81
Connecticut,Miles of public road,2015,21511.76
Delaware,Miles of public road,2015,6415.53
District of Columbia,Miles of public road,2015,1506.69
Florida,Miles of public road,2015,122659.36
Georgia,Miles of public road,2015,128133.52
Hawaii,Miles of public road,2015,4455.08
Idaho,Miles of public road,2015,51162.68
Illinois,Miles of public road,2015,145839.54
Indiana,Miles of public road,2015,96570.64
Iowa,Miles of public road,2015,114441.95
Kansas,Miles of public road,2015,140654.25
Kentucky,Miles of public road,2015,79857.49
Louisiana,Miles of public road,2015,61418.69
Maine,Miles of public road,2015,22911.23
Maryland,Miles of public road,2015,32037.28
Massachusetts,Miles of public road,2015,36422.95
Michigan,Miles of public road,2015,122285.94
Minnesota,Miles of public road,2015,138767.33
Mississippi,Miles of public road,2015,76776.53
Missouri,Miles of public road,2015,131548.57
Montana,Miles of public road,2015,75007.4
Nebraska,Miles of public road,2015,94481.2
Nevada,Miles of public road,2015,43900.17
New Hampshire,Miles of public road,2015,16138.35
New Jersey,Miles of public road,2015,39064.56
New Mexico,Miles of public road,2015,69068.77
New York,Miles of public road,2015,114365.03
North Carolina,Miles of public road,2015,106333.63
North Dakota,Miles of public road,2015,87128.41
Ohio,Miles of public road,2015,122925.65
Oklahoma,Miles of public road,2015,112711.3
Oregon,Miles of public road,2015,73543.72
Pennsylvania,Miles of public road,2015,120090.6
Rhode Island,Miles of public road,2015,6046.17
South Carolina,Miles of public road,2015,76249.89
South Dakota,Miles of public road,2015,82576.12
Tennessee,Miles of public road,2015,95636.64
Texas,Miles of public road,2015,313595.51
United States,Miles of public road,2015,4171910.94
Utah,Miles of public road,2015,46298.6
Vermont,Miles of public road,2015,14252.42
Virginia,Miles of public road,2015,75061.27
Washington,Miles of public road,2015,80338.26
West Virginia,Miles of public road,2015,38770
Wisconsin,Miles of public road,2015,115371.72
Wyoming,Miles of public road,2015,28941.69
Alabama,Miles of public road,2016,101975.36
Alaska,Miles of public road,2016,15528.07
Arizona,Miles of public road,2016,66035.05
Arkansas,Miles of public road,2016,102616.08
California,Miles of public road,2016,180799.99
Colorado,Miles of public road,2016,88827.66
Connecticut,Miles of public road,2016,21530.83
Delaware,Miles of public road,2016,6427.18
District of Columbia,Miles of public road,2016,1508.74
Florida,Miles of public road,2016,122735.79
Georgia,Miles of public road,2016,128235.19
Hawaii,Miles of public road,2016,4468.56
Idaho,Miles of public road,2016,51341.79
Illinois,Miles of public road,2016,145892.44
Indiana,Miles of public road,2016,96615.98
Iowa,Miles of public road,2016,114741.38
Kansas,Miles of public road,2016,142046.82
Kentucky,Miles of public road,2016,79941.62
Louisiana,Miles of public road,2016,61411.23
Maine,Miles of public road,2016,22898.36
Maryland,Miles of public road,2016,32147.39
Massachusetts,Miles of public road,2016,36632.46
Michigan,Miles of public road,2016,122114.81
Minnesota,Miles of public road,2016,138794.4
Mississippi,Miles of public road,2016,77027.04
Missouri,Miles of public road,2016,131807.47
Montana,Miles of public road,2016,73609.95
Nebraska,Miles of public road,2016,94988.47
Nevada,Miles of public road,2016,42582
New Hampshire,Miles of public road,2016,16156.91
New Jersey,Miles of public road,2016,39070.88
New Mexico,Miles of public road,2016,69111.41
New York,Miles of public road,2016,113499.35
North Carolina,Miles of public road,2016,106521.53
North Dakota,Miles of public road,2016,87397.16
Ohio,Miles of public road,2016,122973.8
Oklahoma,Miles of public road,2016,112987.81
Oregon,Miles of public road,2016,73528.95
Pennsylvania,Miles of public road,2016,120445.56
Rhode Island,Miles of public road,2016,6052.45
South Carolina,Miles of public road,2016,76066.68
South Dakota,Miles of public road,2016,82556.8
Tennessee,Miles of public road,2016,95737.17
Texas,Miles of public road,2016,313656.12
United States,Miles of public road,2016,4157291.66
Utah,Miles of public road,2016,46768.75
Vermont,Miles of public road,2016,14253.21
Virginia,Miles of public road,2016,75095.55
Washington,Miles of public road,2016,80392
West Virginia,Miles of public road,2016,38769.99
Wisconsin,Miles of public road,2016,115457.55
Wyoming,Miles of public road,2016,28326.3
Alabama,Miles of public road,2017,101096.97
Alaska,Miles of public road,2017,15534.91
Arizona,Miles of public road,2017,66557.9
Arkansas,Miles of public road,2017,102602.65
California,Miles of public road,2017,176214.24
Colorado,Miles of public road,2017,88818.01
Connecticut,Miles of public road,2017,21543.84
Delaware,Miles of public road,2017,6452.45
District of Columbia,Miles of public road,2017,1513.93
Florida,Miles of public road,2017,122848.47
Georgia,Miles of public road,2017,128355.01
Hawaii,Miles of public road,2017,4476.27
Idaho,Miles of public road,2017,52437.35
Illinois,Miles of public road,2017,145935.68
Indiana,Miles of public road,2017,96790
Iowa,Miles of public road,2017,114637.19
Kansas,Miles of public road,2017,142054.24
Kentucky,Miles of public road,2017,80054.24
Louisiana,Miles of public road,2017,61411.23
Maine,Miles of public road,2017,22860.03
Maryland,Miles of public road,2017,32211
Massachusetts,Miles of public road,2017,36722.66
Michigan,Miles of public road,2017,122036.28
Minnesota,Miles of public road,2017,139448.82
Mississippi,Miles of public road,2017,77445.1
Missouri,Miles of public road,2017,131879
Montana,Miles of public road,2017,73565.85
Nebraska,Miles of public road,2017,95163.06
Nevada,Miles of public road,2017,48234
New Hampshire,Miles of public road,2017,16156.17
New Jersey,Miles of public road,2017,38895.61
New Mexico,Miles of public road,2017,77204.71
New York,Miles of public road,2017,113559.27
North Carolina,Miles of public road,2017,106974.99
North Dakota,Miles of public road,2017,87688.43
Ohio,Miles of public road,2017,122986.5
Oklahoma,Miles of public road,2017,112864.62
Oregon,Miles of public road,2017,79274.52
Pennsylvania,Miles of public road,2017,120520.96
Rhode Island,Miles of public road,2017,6026.9
South Carolina,Miles of public road,2017,77364.09
South Dakota,Miles of public road,2017,82583.85
Tennessee,Miles of public road,2017,95986.28
Texas,Miles of public road,2017,314319.4
Utah,Miles of public road,2017,49289.78
Vermont,Miles of public road,2017,14254.82
Virginia,Miles of public road,2017,75237.98
Washington,Miles of public road,2017,80428.68
West Virginia,Miles of public road,2017,38853.85
Wisconsin,Miles of public road,2017,115547.01
Wyoming,Miles of public road,2017,30429.82
United States,Miles of public road,2017,4183707.24
Alabama,Miles of public road,2018,100962.39
Alaska,Miles of public road,2018,17049.75
Arizona,Miles of public road,2018,66781.7
Arkansas,Miles of public road,2018,102621.77
California,Miles of public road,2018,175589.29
Colorado,Miles of public road,2018,88974.87
Connecticut,Miles of public road,2018,21555.74
Delaware,Miles of public road,2018,6461.12
District of Columbia,Miles of public road,2018,1513.95
Florida,Miles of public road,2018,123099.22
Georgia,Miles of public road,2018,128396.52
Hawaii,Miles of public road,2018,4475.48
Idaho,Miles of public road,2018,56347.37
Illinois,Miles of public road,2018,145975.61
Indiana,Miles of public road,2018,96962.01
Iowa,Miles of public road,2018,114745.09
Kansas,Miles of public road,2018,142200.23
Kentucky,Miles of public road,2018,80179.95
Louisiana,Miles of public road,2018,61416.32
Maine,Miles of public road,2018,22814.98
Maryland,Miles of public road,2018,32268.7
Massachusetts,Miles of public road,2018,36763.1
Michigan,Miles of public road,2018,122164.32
Minnesota,Miles of public road,2018,139590.74
Mississippi,Miles of public road,2018,77476.74
Missouri,Miles of public road,2018,132093.56
Montana,Miles of public road,2018,73572.77
Nebraska,Miles of public road,2018,95262.1
Nevada,Miles of public road,2018,48458
New Hampshire,Miles of public road,2018,16170.54
New Jersey,Miles of public road,2018,38919.42
New Mexico,Miles of public road,2018,77604.73
New York,Miles of public road,2018,113532.61
North Carolina,Miles of public road,2018,107348.4
North Dakota,Miles of public road,2018,88050.05
Ohio,Miles of public road,2018,123014.18
Oklahoma,Miles of public road,2018,116064.62
Oregon,Miles of public road,2018,79265.99
Pennsylvania,Miles of public road,2018,120590.09
Rhode Island,Miles of public road,2018,6012.86
South Carolina,Miles of public road,2018,77991.97
South Dakota,Miles of public road,2018,82501.39
Tennessee,Miles of public road,2018,96115.87
Texas,Miles of public road,2018,314647.5
Utah,Miles of public road,2018,48912.75
Vermont,Miles of public road,2018,14252.72
Virginia,Miles of public road,2018,75368.79
Washington,Miles of public road,2018,80652.79
West Virginia,Miles of public road,2018,38850.16
Wisconsin,Miles of public road,2018,115609
Wyoming,Miles of public road,2018,29665.57
United States,Miles of public road,2018,4195273.99
Alabama,Miles of public road,2019,100684.55
Alaska,Miles of public road,2019,17735.624
Arizona,Miles of public road,2019,66901.124
Arkansas,Miles of public road,2019,102614.972
California,Miles of public road,2019,175555.46
Colorado,Miles of public road,2019,89068.852
Connecticut,Miles of public road,2019,21577.4
Delaware,Miles of public road,2019,6499.03
District of Columbia,Miles of public road,2019,1514.65
Florida,Miles of public road,2019,123104.45
Georgia,Miles of public road,2019,128461.491
Hawaii,Miles of public road,2019,4498.691
Idaho,Miles of public road,2019,52518.763
Illinois,Miles of public road,2019,145966.88
Indiana,Miles of public road,2019,96906
Iowa,Miles of public road,2019,114803.204
Kansas,Miles of public road,2019,140372
Kentucky,Miles of public road,2019,79953.538
Louisiana,Miles of public road,2019,63967.14
Maine,Miles of public road,2019,22818.79
Maryland,Miles of public road,2019,32372.876
Massachusetts,Miles of public road,2019,36790.787
Michigan,Miles of public road,2019,122180.58
Minnesota,Miles of public road,2019,141359.545
Mississippi,Miles of public road,2019,77487.119
Missouri,Miles of public road,2019,132253.619
Montana,Miles of public road,2019,73646.928
Nebraska,Miles of public road,2019,95290.449
Nevada,Miles of public road,2019,47730.69
New Hampshire,Miles of public road,2019,16185.17
New Jersey,Miles of public road,2019,38949.89
New Mexico,Miles of public road,2019,71826.897
New York,Miles of public road,2019,113928.64
North Carolina,Miles of public road,2019,107628.003
North Dakota,Miles of public road,2019,88167.671
Ohio,Miles of public road,2019,123031.393
Oklahoma,Miles of public road,2019,114637.872
Oregon,Miles of public road,2019,79045.06
Pennsylvania,Miles of public road,2019,120713.963
Puerto Rico,Miles of public road,2019,18358.614
Rhode Island,Miles of public road,2019,6004.121
South Carolina,Miles of public road,2019,79233.551
South Dakota,Miles of public road,2019,81969.094
Tennessee,Miles of public road,2019,96167.284
Texas,Miles of public road,2019,315445.424
Utah,Miles of public road,2019,48608.473
Vermont,Miles of public road,2019,14253.503
Virginia,Miles of public road,2019,75347.984
Washington,Miles of public road,2019,80704.33
West Virginia,Miles of public road,2019,38876.998
Wisconsin,Miles of public road,2019,115673.452
Wyoming,Miles of public road,2019,30090.812
United States,Miles of public road,2019,4189483.401
Alabama,Miles of public road,2020,100170.897
Alaska,Miles of public road,2020,17680.928
Arizona,Miles of public road,2020,66968.047
Arkansas,Miles of public road,2020,99246.486
California,Miles of public road,2020,175562.156
Colorado,Miles of public road,2020,89207.321
Connecticut,Miles of public road,2020,21575.04
Delaware,Miles of public road,2020,6525.61
District of Columbia,Miles of public road,2020,1515.913
Florida,Miles of public road,2020,123487.605
Georgia,Miles of public road,2020,128571.803
Hawaii,Miles of public road,2020,4501.037
Idaho,Miles of public road,2020,53281.228
Illinois,Miles of public road,2020,145992.87
Indiana,Miles of public road,2020,97110.087
Iowa,Miles of public road,2020,114838.394
Kansas,Miles of public road,2020,140112.204
Kentucky,Miles of public road,2020,80006.165
Louisiana,Miles of public road,2020,63746.046
Maine,Miles of public road,2020,22851.46
Maryland,Miles of public road,2020,32430.478
Massachusetts,Miles of public road,2020,36815.231
Michigan,Miles of public road,2020,122040.288
Minnesota,Miles of public road,2020,141956.661
Mississippi,Miles of public road,2020,77512.154
Missouri,Miles of public road,2020,132518.842
Montana,Miles of public road,2020,73489.786
Nebraska,Miles of public road,2020,95331.079
Nevada,Miles of public road,2020,47793.433
New Hampshire,Miles of public road,2020,16193.067
New Jersey,Miles of public road,2020,38990.5
New Mexico,Miles of public road,2020,72092.437
New York,Miles of public road,2020,114205.26
North Carolina,Miles of public road,2020,107954.343
North Dakota,Miles of public road,2020,88429.108
Ohio,Miles of public road,2020,122991.748
Oklahoma,Miles of public road,2020,115078.883
Oregon,Miles of public road,2020,78990.7
Pennsylvania,Miles of public road,2020,120845.435
Puerto Rico,Miles of public road,2020,19916.489
Rhode Island,Miles of public road,2020,6024.804
South Carolina,Miles of public road,2020,79189.65
South Dakota,Miles of public road,2020,81697.382
Tennessee,Miles of public road,2020,96181.889
Texas,Miles of public road,2020,316567.47
Utah,Miles of public road,2020,48811.503
Vermont,Miles of public road,2020,14248.412
Virginia,Miles of public road,2020,75527.129
Washington,Miles of public road,2020,81022.207
West Virginia,Miles of public road,2020,38878.899
Wisconsin,Miles of public road,2020,115751.154
Wyoming,Miles of public road,2020,30050.79
United States,Miles of public road,2020,4192478.508
Alabama,Miles of public road,2021,100176.903
Alaska,Miles of public road,2021,17690.421
Arizona,Miles of public road,2021,74782.878
Arkansas,Miles of public road,2021,99331.942
California,Miles of public road,2021,177299.941
Colorado,Miles of public road,2021,89385.084
Connecticut,Miles of public road,2021,21362.59
Delaware,Miles of public road,2021,6543.54
District of Columbia,Miles of public road,2021,1519.528
Florida,Miles of public road,2021,123652.123
Georgia,Miles of public road,2021,125700.532
Hawaii,Miles of public road,2021,4515.025
Idaho,Miles of public road,2021,54031.155
Illinois,Miles of public road,2021,145996.51
Indiana,Miles of public road,2021,97827.134
Iowa,Miles of public road,2021,114878.078
Kansas,Miles of public road,2021,139181.015
Kentucky,Miles of public road,2021,79902.181
Louisiana,Miles of public road,2021,65917.709
Maine,Miles of public road,2021,22838.475
Maryland,Miles of public road,2021,32506.568
Massachusetts,Miles of public road,2021,36830.044
Michigan,Miles of public road,2021,122043.545
Minnesota,Miles of public road,2021,142862.282
Mississippi,Miles of public road,2021,77514.478
Missouri,Miles of public road,2021,132708.186
Montana,Miles of public road,2021,73569.08
Nebraska,Miles of public road,2021,95397.259
Nevada,Miles of public road,2021,47191.453
New Hampshire,Miles of public road,2021,16227.688
New Jersey,Miles of public road,2021,38781.432
New Mexico,Miles of public road,2021,72179.019
New York,Miles of public road,2021,114401.81
North Carolina,Miles of public road,2021,108073.881
North Dakota,Miles of public road,2021,88411.62
Ohio,Miles of public road,2021,122787.707
Oklahoma,Miles of public road,2021,115292.518
Oregon,Miles of public road,2021,79417.24
Pennsylvania,Miles of public road,2021,120896.685
Puerto Rico,Miles of public road,2021,19963.728
Rhode Island,Miles of public road,2021,6024.804
South Carolina,Miles of public road,2021,79199.696
South Dakota,Miles of public road,2021,81288.813
Tennessee,Miles of public road,2021,96319.342
Texas,Miles of public road,2021,322152.753
Utah,Miles of public road,2021,48908.347
Vermont,Miles of public road,2021,14247.772
Virginia,Miles of public road,2021,75657.75
Washington,Miles of public road,2021,79426.583
West Virginia,Miles of public road,2021,38836.824
Wisconsin,Miles of public road,2021,115693.765
Wyoming,Miles of public road,2021,30057.873
United States,Miles of public road,2021,4207403.309
Alabama,Miles of public road,2022,98631.977
Alaska,Miles of public road,2022,17636.975
Arizona,Miles of public road,2022,74507.241
Arkansas,Miles of public road,2022,99087.019
California,Miles of public road,2022,182103.142
Colorado,Miles of public road,2022,89550.794
Connecticut,Miles of public road,2022,21367.55
Delaware,Miles of public road,2022,6574.85
District of Columbia,Miles of public road,2022,1520.056
Florida,Miles of public road,2022,123816.635
Georgia,Miles of public road,2022,125762.096
Hawaii,Miles of public road,2022,4523.539
Idaho,Miles of public road,2022,58428.351
Illinois,Miles of public road,2022,146009.98
Indiana,Miles of public road,2022,97190.485
Iowa,Miles of public road,2022,114969.664
Kansas,Miles of public road,2022,139010.928
Kentucky,Miles of public road,2022,79705.247
Louisiana,Miles of public road,2022,65954.972
Maine,Miles of public road,2022,22842.599
Maryland,Miles of public road,2022,32572.073
Massachusetts,Miles of public road,2022,36799.069
Michigan,Miles of public road,2022,122037.609
Minnesota,Miles of public road,2022,143216.793
Mississippi,Miles of public road,2022,77740.721
Missouri,Miles of public road,2022,132646.65
Montana,Miles of public road,2022,74501.754
Nebraska,Miles of public road,2022,95552.263
Nevada,Miles of public road,2022,47348.028
New Hampshire,Miles of public road,2022,16247.026
New Jersey,Miles of public road,2022,38782.62
New Mexico,Miles of public road,2022,72160.617
New York,Miles of public road,2022,114424.321
North Carolina,Miles of public road,2022,108284.691
North Dakota,Miles of public road,2022,88415.841
Ohio,Miles of public road,2022,122883.944
Oklahoma,Miles of public road,2022,115430.277
Oregon,Miles of public road,2022,79145.885
Pennsylvania,Miles of public road,2022,121884.825
Puerto Rico,Miles of public road,2022,19976.847
Rhode Island,Miles of public road,2022,6530.567
South Carolina,Miles of public road,2022,77207.67
South Dakota,Miles of public road,2022,81744.056
Tennessee,Miles of public road,2022,96405.829
Texas,Miles of public road,2022,323364.211
Utah,Miles of public road,2022,49008.124
Vermont,Miles of public road,2022,14223.126
Virginia,Miles of public road,2022,75507.81
Washington,Miles of public road,2022,79507.579
West Virginia,Miles of public road,2022,38843.025
Wisconsin,Miles of public road,2022,115764.523
Wyoming,Miles of public road,2022,30070.458
United States,Miles of public road,2022,4217422.932
Alabama,Miles of inland waterway,2010,1270
Alaska,Miles of inland waterway,2010,5500
Arkansas,Miles of inland waterway,2010,1860
California,Miles of inland waterway,2010,290
Connecticut,Miles of inland waterway,2010,120
Delaware,Miles of inland waterway,2010,100
District of Columbia,Miles of inland waterway,2010,10
Florida,Miles of inland waterway,2010,1540
Georgia,Miles of inland waterway,2010,720
Idaho,Miles of inland waterway,2010,110
Illinois,Miles of inland waterway,2010,1100
Indiana,Miles of inland waterway,2010,350
Iowa,Miles of inland waterway,2010,490
Kansas,Miles of inland waterway,2010,120
Kentucky,Miles of inland waterway,2010,1590
Louisiana,Miles of inland waterway,2010,2820
Maine,Miles of inland waterway,2010,70
Maryland,Miles of inland waterway,2010,530
Massachusetts,Miles of inland waterway,2010,90
Minnesota,Miles of inland waterway,2010,260
Mississippi,Miles of inland waterway,2010,870
Missouri,Miles of inland waterway,2010,1030
Nebraska,Miles of inland waterway,2010,320
New Hampshire,Miles of inland waterway,2010,10
New Jersey,Miles of inland waterway,2010,360
New York,Miles of inland waterway,2010,390
North Carolina,Miles of inland waterway,2010,1150
Ohio,Miles of inland waterway,2010,440
Oklahoma,Miles of inland waterway,2010,150
Oregon,Miles of inland waterway,2010,680
Pennsylvania,Miles of inland waterway,2010,260
Rhode Island,Miles of inland waterway,2010,40
South Carolina,Miles of inland waterway,2010,480
South Dakota,Miles of inland waterway,2010,80
Tennessee,Miles of inland waterway,2010,950
Texas,Miles of inland waterway,2010,830
United States,Miles of inland waterway,2010,29620
Virginia,Miles of inland waterway,2010,670
Washington,Miles of inland waterway,2010,1060
West Virginia,Miles of inland waterway,2010,680
Wisconsin,Miles of inland waterway,2010,230
Alabama,Miles of inland waterway,2011,1270
Alaska,Miles of inland waterway,2011,5500
Arkansas,Miles of inland waterway,2011,1860
California,Miles of inland waterway,2011,290
Connecticut,Miles of inland waterway,2011,120
Delaware,Miles of inland waterway,2011,100
District of Columbia,Miles of inland waterway,2011,10
Florida,Miles of inland waterway,2011,1540
Georgia,Miles of inland waterway,2011,720
Idaho,Miles of inland waterway,2011,110
Illinois,Miles of inland waterway,2011,1100
Indiana,Miles of inland waterway,2011,350
Iowa,Miles of inland waterway,2011,490
Kansas,Miles of inland waterway,2011,120
Kentucky,Miles of inland waterway,2011,1590
Louisiana,Miles of inland waterway,2011,2820
Maine,Miles of inland waterway,2011,70
Maryland,Miles of inland waterway,2011,530
Massachusetts,Miles of inland waterway,2011,90
Minnesota,Miles of inland waterway,2011,260
Mississippi,Miles of inland waterway,2011,870
Missouri,Miles of inland waterway,2011,1030
Nebraska,Miles of inland waterway,2011,320
New Hampshire,Miles of inland waterway,2011,10
New Jersey,Miles of inland waterway,2011,360
New York,Miles of inland waterway,2011,390
North Carolina,Miles of inland waterway,2011,1150
Ohio,Miles of inland waterway,2011,440
Oklahoma,Miles of inland waterway,2011,150
Oregon,Miles of inland waterway,2011,680
Pennsylvania,Miles of inland waterway,2011,260
Rhode Island,Miles of inland waterway,2011,40
South Carolina,Miles of inland waterway,2011,480
South Dakota,Miles of inland waterway,2011,80
Tennessee,Miles of inland waterway,2011,950
Texas,Miles of inland waterway,2011,830
United States,Miles of inland waterway,2011,29620
Virginia,Miles of inland waterway,2011,670
Washington,Miles of inland waterway,2011,1060
West Virginia,Miles of inland waterway,2011,680
Wisconsin,Miles of inland waterway,2011,230
Alabama,Miles of inland waterway,2012,1270
Alaska,Miles of inland waterway,2012,5500
Arkansas,Miles of inland waterway,2012,1860
California,Miles of inland waterway,2012,290
Connecticut,Miles of inland waterway,2012,120
Delaware,Miles of inland waterway,2012,100
District of Columbia,Miles of inland waterway,2012,10
Florida,Miles of inland waterway,2012,1540
Georgia,Miles of inland waterway,2012,720
Idaho,Miles of inland waterway,2012,110
Illinois,Miles of inland waterway,2012,1100
Indiana,Miles of inland waterway,2012,350
Iowa,Miles of inland waterway,2012,490
Kansas,Miles of inland waterway,2012,120
Kentucky,Miles of inland waterway,2012,1590
Louisiana,Miles of inland waterway,2012,2820
Maine,Miles of inland waterway,2012,70
Maryland,Miles of inland waterway,2012,530
